회사명,요청검색어,cmpCd,등급
(주)대한항공,대한항공,1463144,A
(주)모베이스전자,모베이스전자,1711477,BB-
(주)방림,방림,1107759,BB-
(주)보령,보령,1791063,A
(주)세아제강지주,세아제강지주,1556426,취소
(주)세아특수강,세아특수강,1488125,A-
(주)세아홀딩스,세아홀딩스,5004789,A
(주)씨제이이엔엠,CJ,1884524,AA-
(주)애큐온캐피탈,케이티,2764223,A
(주)엔바이오니아,엔바이오니아,5202454,취소
(주)엔씨소프트,엔씨소프트,5102692,AA-
(주)엔켐,엔켐,5109567,BB+
(주)엘앤에프,엘앤에프,5105822,BB+
(주)엘지생활건강,LG생활건강,1337366,AA+
(주)엘지씨엔에스,엔에스,1961728,AA
(주)엘지에너지솔루션,LG에너지솔루션,5201587,AA
(주)엘지유플러스,LG유플러스,1368923,AA
(주)엘지화학,LG화학,1660632,AA+
(주)케이비금융지주,KB금융,5001252,취소
(주)케이티,케이티,1596215,AAA
(주)케이티스카이라이프,케이티,1780813,AA-
(주)케이티앤지,케이티앤지,1231507,AAA
(주)펄어비스,펄어비스,5108068,A-
(주)하나금융지주,하나금융지주,2602693,취소
(주)한화,한화,1709744,A+
(주)호텔신라,호텔신라,1609318,AA-
기아(주),기아,1503717,AAA
네이버(주),엔에이치엔,1420234,AA+
다올투자증권(주),케이티,1824301,BBB+
두산에너빌리티(주),두산에너빌리티,1565368,BBB+
롯데렌탈(주),케이티,2594646,A+
롯데쇼핑(주),롯데쇼핑,1903621,AA-
롯데오토리스(주),케이티,5008728,A+
롯데웰푸드(주),롯데웰푸드,5106162,AA
롯데지주(주),롯데지주,1921171,A+
롯데칠성음료(주),롯데칠성음료,1413529,AA
롯데케미칼(주),롯데케미칼,1369147,AA-
무림페이퍼(주),무림페이퍼,1128292,취소
보령엘엔지터미널(주),보령,5010495,AA
부국증권(주),부국증권,1938971,A
부산주공(주),부산주공,1415114,B
삼성바이오로직스(주),삼성바이오로직스,5009795,AA
삼성에스디아이(주),삼성SDI,1714118,AA
삼성전자(주),삼성전자,1326874,AAA
송원산업(주),송원산업,1414240,BBB-
씨제이(주),CJ,1293674,AA-
씨제이대한통운(주),CJ,1479387,AA-
씨제이씨지브이(주),CJ,1698732,A-
씨제이제일제당(주),CJ제일제당,5000500,AA
씨제이프레시웨이(주),CJ,1795281,A
아시아나항공(주),아시아나항공,1419392,취소
에스케이이노베이션(주),SK이노베이션,5000431,AA
에스케이텔레콤(주),SK텔레콤,1425702,AAA
에스케이하이닉스(주),SK하이닉스,1670352,AA
에쓰오일(주),S-Oil,1756193,AA
에이치디한국조선해양(주),HD한국조선해양,1585597,취소
에이치엠엠(주),HMM,1180866,취소
엘에스엠트론(주),에스엠,5001084,A
엘지디스플레이(주),LG디스플레이,1638779,A
엘컴텍(주),엘컴텍,1504058,D
오씨아이홀딩스(주),OCI홀딩스,1407906,취소
한국전력공사,한국전력공사,1819972,AAA
한화모멘텀(주),한화,5209046,A+
한화생명보험(주),한화,1522133,AA+
한화손해보험(주),한화,1743044,A+
한화솔루션(주),한화,1935917,AA-
한화에너지(주),한화,5006645,A+
한화에어로스페이스(주),한화에어로스페이스,1448505,AA-
한화오션(주),한화,1509922,BBB+
한화위탁관리부동산투자회사(주),한화,5207686,A+
한화임팩트(주),한화,1205313,A
한화토탈에너지스(주),한화,1621979,AA-
한화투자증권(주),한화,1982719,A
현대모비스(주),모비스,1499163,AA+
현대자동차(주),현대자동차,1407283,AAA
