회사명,요청검색어,cmpCd,등급,source
(주)DB하이텍,DB하이텍,1632916,BBB-,cache
(주)대웅제약,대웅제약,1433399,A+,cache
(주)대한항공,대한항공,1463144,A,cache
(주)마니커,마니커,1418661,BB-,
(주)마니커에프앤지,마니커,5008668,BB+,
(주)매커스,매커스,5000362,B-,cache
(주)모나미,모나미,1193743,취소,cache
(주)모베이스전자,모베이스전자,1711477,BB-,cache
(주)방림,방림,1107759,BB-,cache
(주)비보존제약,비보존헬스케어,5106763,B-↓,cache
(주)서연이화,서연,5110055,BBB,cache
(주)서울제약,서울제약,1115948,BB-,cache
(주)성우하이텍,성우하이텍,1292385,A-,cache
(주)세아제강지주,세아제강지주,1556426,취소,cache
(주)세아특수강,세아특수강,1488125,A-,cache
(주)세아홀딩스,세아홀딩스,5004789,A,cache
(주)신성이엔지,신성이엔지,5007208,취소,cache
(주)신영와코루,신영와코루,1909607,AA+,cache
(주)신원,신원,1419986,BBB-,cache
(주)신흥,신흥,1543198,BBB,cache
(주)심텍,심텍,1693831,BBB-,cache
(주)씨제이이엔엠,CJ ENM,1884524,AA-,cache
(주)아스트,아스트,5106477,CC,cache
(주)아이마켓코리아,아이마켓코리아,5008667,A,cache
(주)알루코,알루코,1230334,BBB-,cache
(주)에넥스,에넥스,1372396,BBB-,cache
(주)에스에프에이반도체,에스에프에이,5000604,BBB-,cache
(주)에코프로비엠,에코프로,5108115,A,cache
(주)엔바이오니아,엔바이오니아,5202454,취소,cache
(주)엔씨소프트,엔씨소프트,5102692,AA-,cache
(주)엔켐,엔켐,5109567,BB+,cache
(주)엘앤에프,엘앤에프,5105822,BB+,cache
(주)엘엑스인터내셔널,LG,1113852,AA-,
(주)엘지생활건강,LG생활건강,1337366,AA+,cache
(주)엘지씨엔에스,LG,1961728,AA,
(주)엘지에너지솔루션,LG에너지솔루션,5201587,AA,cache
(주)엘지유플러스,LG유플러스,1368923,AA,cache
(주)엘지화학,LG화학,1660632,AA+,cache
(주)오리온,오리온,5105597,AA,
(주)오리온홀딩스,오리온,1308077,취소,
(주)오리콤,오리콤,1313686,BB,cache
(주)우리금융지주,우리금융지주,5109037,AA-,cache
(주)웅진씽크빅,웅진씽크빅,5004614,BBB+,cache
(주)유니켐,유니켐,1642853,BB-,
(주)유한양행,유한양행,1989190,A+,cache
(주)케이비금융지주,KB금융,5001252,취소,cache
(주)케이티스카이라이프,케이티,1780813,AA-,cache
(주)케이티앤지,케이티앤지,1231507,AAA,cache
(주)티이씨앤코,쌍방울,1251224,B-,cache
(주)펄어비스,펄어비스,5108068,A-,cache
(주)포스코퓨처엠,포스코퓨처엠,1908036,AA-,cache
(주)포스코플랜텍,오텍,1753300,CC,cache
(주)하나금융지주,하나금융지주,2602693,취소,cache
(주)한솔케미칼,한솔케미칼,1151724,A+,cache
(주)형지아이앤씨,아이앤씨,1726677,B+,cache
(주)호텔신라,호텔신라,1609318,AA-,cache
고려아연(주),고려아연,1762248,AA,cache
금호석유화학(주),금호석유화학,1967143,A+,cache
기아(주),기아,1503717,AAA,cache
네이버(주),NAVER,1420234,AA+,cache
넷마블(주),넷마블,5200864,A+,
대신증권(주),대신증권,1188609,AA-,cache
두산에너빌리티(주),두산에너빌리티,1565368,BBB+,cache
롯데쇼핑(주),롯데쇼핑,1903621,AA-,cache
롯데웰푸드(주),롯데웰푸드,5106162,AA,cache
롯데지주(주),롯데지주,1921171,A+,cache
롯데칠성음료(주),롯데칠성음료,1413529,AA,cache
롯데케미칼(주),롯데케미칼,1369147,AA-,cache
매일홀딩스(주),매일홀딩스,1958153,취소,cache
무림페이퍼(주),무림페이퍼,1128292,취소,cache
미래에셋증권(주),미래에셋증권,1126649,취소,cache
보령엘엔지터미널(주),보령,5010495,AA,cache
부국증권(주),부국증권,1938971,A,cache
부산주공(주),부산주공,1415114,B,cache
삼보모터스(주),삼보모터스,5001099,BB+,cache
삼성물산(주),삼성물산,1830437,AA+,cache
삼성바이오로직스(주),삼성바이오로직스,5009795,AA,cache
삼성에스디아이(주),삼성SDI,1714118,AA,cache
삼성에스디에스(주),삼성에스디에스,1207727,AA+,cache
삼성이앤에이(주),삼성엔지니어링,1363128,취소,cache
삼성전기(주),삼성전기,1925253,AA,cache
삼성전자(주),삼성전자,1326874,AAA,cache
삼성중공업(주),삼성중공업,1536744,A-,cache
삼성증권(주),삼성증권,1124978,AA+,cache
삼양식품(주),삼양식품,1330068,A+,cache
삼영무역(주),삼영무역,1447892,A,cache
성신양회(주),성신양회,1647564,BB+,cache
세방(주),세방,1530049,BBB-,cache
송원산업(주),송원산업,1414240,BBB-,cache
신세계건설(주),신세계건설,1945405,취소,cache
신풍제약(주),신풍제약,1440536,D,cache
신화실업(주),신화실업,1629349,BB-,cache
신화인터텍(주),신화인터텍,1951077,BB+,cache
쌍용정보통신(주),쌍용정보통신,1679029,BB,cache
씨제이대한통운(주),CJ,1479387,AA-,cache
씨제이씨지브이(주),CJ CGV,1698732,A-,cache
씨제이제일제당(주),CJ제일제당,5000500,AA,cache
아남전자(주),아남전자,1332392,BBB-,cache
아세아제지(주),아세아제지,1374185,BB+,cache
아시아나항공(주),아시아나항공,1419392,취소,cache
아이원스(주),아이원스,5102756,BB-,cache
아주스틸(주),아주스틸,5010881,BB,cache
애경산업(주),애경산업,1119411,BB+,cache
에스엘엘중앙(주),에스엘,5110901,BBB,cache
에스와이스틸텍(주),에스와이,5109977,B+,cache
에스케이브로드밴드(주),SK,1507880,AA,cache
에스케이실트론(주),LG,1341913,A+,
에스케이이노베이션(주),SK이노베이션,5000431,AA,cache
에스케이텔레콤(주),SK텔레콤,1425702,AAA,cache
에스케이하이닉스(주),SK하이닉스,1670352,AA,cache
에쓰오일(주),S-Oil,1756193,AA,cache
에이치디한국조선해양(주),HD한국조선해양,1585597,취소,cache
에이치디현대(주),HD현대,5105240,A+,
에이치디현대건설기계(주),HD현대,5105239,A,
에이치디현대미포(주),HD현대,1938276,BBB+,
에이치디현대오일뱅크(주),HD현대,1867585,AA-,
에이치디현대인프라코어(주),HD현대,1774470,A,
에이치디현대일렉트릭(주),HD현대,5105241,A+,
에이치디현대중공업(주),HD현대,5109868,A+,
에이치디현대케미칼(주),HD현대,5101733,A,
에이치엘만도(주),HL만도,5010825,AA-,cache
에이치엠엠(주),HMM,1180866,취소,cache
엘에스엠트론(주),에스엠,5001084,A,cache
엘에스증권(주),LS,5001483,A,cache
엘지디스플레이(주),LG디스플레이,1638779,A,cache
엘지이노텍(주),LG,1784472,AA-,
엘지전자(주),LG전자,1799533,AA,cache
엘컴텍(주),엘컴텍,1504058,D,cache
엠벤처투자(주),엠벤처투자,1200025,취소,cache
오리온전기(주),오리온,1584473,AAA,
오성첨단소재(주),오성첨단소재,5001592,CC,cache
오씨아이홀딩스(주),OCI홀딩스,1407906,취소,cache
우리산업(주),우리산업,5207932,BB,cache
유안타증권(주),유안타증권,1493741,AA-,cache
유진기업(주),유진기업,1547010,BBB,cache
지에스건설(주),GS건설,1168959,A,cache
지에스이피에스(주),GS,1111499,AA,cache
케이지모빌리티 (주),KG모빌리티,1309437,D,cache
코웨이(주),웅진,1697506,AA-,cache
키움증권(주),키움증권,1682530,AA-,cache
하이트진로(주),하이트진로,1411915,A+,cache
한국가스공사,한국가스공사,1475264,AAA,
한국전력공사,한국전력공사,1819972,AAA,cache
한국타이어앤테크놀로지(주),한국타이어앤테크놀로지,5007561,AA,
