회사명,요청검색어,cmpCd,등급
(주)DB하이텍,DB하이텍,1632916,BBB-
(주)대웅제약,대웅제약,1433399,A+
(주)대한항공,대한항공,1463144,A
(주)매커스,매커스,5000362,B-
(주)모나미,모나미,1193743,취소
(주)모베이스전자,모베이스전자,1711477,BB-
(주)방림,방림,1107759,BB-
(주)보령,보령,1791063,A
(주)비보존제약,비보존헬스케어,5106763,B-↓
(주)서연이화,서연,5110055,BBB
(주)서울제약,서울제약,1115948,BB-
(주)성우하이텍,성우하이텍,1292385,A-
(주)세아제강지주,세아제강지주,1556426,취소
(주)세아특수강,세아특수강,1488125,A-
(주)세아홀딩스,세아홀딩스,5004789,A
(주)신성이엔지,신성이엔지,1719451,BB-
(주)신성이엔지,신성이엔지,5007208,취소
(주)신영와코루,신영와코루,1909607,AA+
(주)신원,신원,1419986,BBB-
(주)신흥,신흥,1543198,BBB
(주)심텍,심텍,1693831,BBB-
(주)씨제이이엔엠,CJ ENM,1884524,AA-
(주)아스트,아스트,5106477,CC
(주)아이마켓코리아,아이마켓코리아,5008667,A
(주)알루코,알루코,1230334,BBB-
(주)에넥스,에넥스,1372396,BBB-
(주)에스에프에이반도체,에스에프에이,5000604,BBB-
(주)에코비트,SK,5011028,A+
(주)에코프로,에코프로,5207805,A
(주)에코프로비엠,에코프로,5108115,A
(주)엔바이오니아,엔바이오니아,5202454,취소
(주)엘앤에프,엘앤에프,5105822,BB+
(주)엘에스,LS,1122861,A+
(주)엘에스네트웍스,LS,1610210,BBB+
(주)엘지씨엔에스,엔에스,1961728,AA
(주)엘지에너지솔루션,LG에너지솔루션,5201587,AA
(주)엘지유플러스,LG유플러스,1368923,AA
(주)오리콤,오리콤,1313686,BB
(주)유한양행,유한양행,1989190,A+
(주)지에스,GS,2181110,AA
(주)지에스리테일,GS,1457501,AA
(주)지에스이앤알,GS,1240060,A+
(주)케이비금융지주,KB금융,5001252,취소
(주)케이티앤지,케이티앤지,1231507,AAA
(주)티이씨앤코,쌍방울,1251224,B-
(주)펄어비스,펄어비스,5108068,A-
(주)포스코퓨처엠,포스코퓨처엠,1908036,AA-
(주)하나금융지주,하나금융지주,2602693,취소
(주)한솔케미칼,한솔케미칼,1151724,A+
(주)형지아이앤씨,아이앤씨,1726677,B+
(주)호텔신라,호텔신라,1609318,AA-
고려아연(주),고려아연,1762248,AA
금호석유화학(주),금호석유화학,1967143,A+
기아(주),기아,1503717,AAA
네이버(주),NAVER,1420234,AA+
대신증권(주),대신증권,1188609,AA-
두산에너빌리티(주),두산에너빌리티,1565368,BBB+
롯데쇼핑(주),롯데쇼핑,1903621,AA-
롯데웰푸드(주),롯데웰푸드,5106162,AA
롯데지주(주),롯데지주,1921171,A+
롯데칠성음료(주),롯데칠성음료,1413529,AA
롯데케미칼(주),롯데케미칼,1369147,AA-
매일홀딩스(주),매일홀딩스,1958153,취소
무림페이퍼(주),무림페이퍼,1128292,취소
미래에셋증권(주),미래에셋증권,1126649,취소
보령엘엔지터미널(주),보령,5010495,AA
부국증권(주),부국증권,1938971,A
부산주공(주),부산주공,1415114,B
삼보모터스(주),삼보모터스,5001099,BB+
삼성물산(주),삼성물산,1830437,AA+
삼성바이오로직스(주),삼성바이오로직스,5009795,AA
삼성에스디아이(주),삼성SDI,1714118,AA
삼성에스디에스(주),삼성에스디에스,1207727,AA+
삼성이앤에이(주),삼성엔지니어링,1363128,취소
삼성전기(주),삼성전기,1925253,AA
삼성전자(주),삼성전자,1326874,AAA
삼성중공업(주),삼성중공업,1536744,A-
삼성증권(주),삼성증권,1124978,AA+
삼양식품(주),삼양식품,1330068,A+
삼영무역(주),삼영무역,1447892,A
성신양회(주),성신양회,1647564,BB+
세방(주),세방,1530049,BBB-
송원산업(주),송원산업,1414240,BBB-
신세계건설(주),신세계건설,1945405,취소
신풍제약(주),신풍제약,1440536,D
신화실업(주),신화실업,1629349,BB-
신화인터텍(주),신화인터텍,1951077,BB+
쌍용정보통신(주),쌍용정보통신,1679029,BB
씨제이대한통운(주),CJ대한통운,1479387,AA-
씨제이씨지브이(주),CJ CGV,1698732,A-
씨제이제일제당(주),CJ제일제당,5000500,AA
아남전자(주),아남전자,1332392,BBB-
아세아제지(주),아세아제지,1374185,BB+
아시아나항공(주),아시아나항공,1419392,취소
아이원스(주),아이원스,5102756,BB-
아주스틸(주),아주스틸,5010881,BB
애경산업(주),애경산업,1119411,BB+
에스엘엘중앙(주),에스엘,5110901,BBB
에스와이(주),에스와이,5104539,BB
에스와이스틸텍(주),에스와이,5109977,B+
에스케이(주),SK,1311575,AA+
에스케이가스(주),SK,1716548,AA-
에스케이네트웍스(주),SK,1748214,AA-
에스케이디스커버리(주),SK,1854045,A+
에스케이렌터카(주),SK,1215036,A
에스케이브로드밴드(주),SK,1507880,AA
에스케이스페셜티(주),SK,5204750,A
에스케이실트론(주),SK,1341913,A+
에스케이씨(주),SK,1783748,A+
에스케이아이이테크놀로지(주),SK,5202918,A
에스케이어드밴스드(주),SK,5010935,BBB+
에스케이에너지(주),SK,5004410,AA
에스케이에어플러스(주),SK,5103512,A-
에스케이에코플랜트(주),SK,1938290,A-
에스케이엔무브(주),SK,5002042,AA↓
에스케이온(주),SK,5204284,A+
에스케이위탁관리부동산투자회사(주),SK,5204951,AA-
에스케이이노베이션(주),SK이노베이션,5000431,AA
에스케이인천석유화학(주),SK,5008896,A+
에스케이인텔릭스(주),SK,5105839,A+
에스케이증권(주),SK,1206518,BBB+
에스케이지오센트릭(주),SK,5004411,AA-
에스케이케미칼(주),SK,5106554,A+
에스케이텔레콤(주),SK텔레콤,1425702,AAA
에스케이하이닉스(주),반도체,1670352,AA
에스케이해운(주),SK,5105269,BBB+
에쓰오일(주),S-Oil,1756193,AA
에이치디한국조선해양(주),HD한국조선해양,1585597,취소
에이치디현대건설기계(주),HD현대건설기계,5105239,A
에이치디현대일렉트릭(주),HD현대일렉트릭,5105241,A+
에이치디현대중공업(주),HD현대중공업,5109868,A+
에이치엘만도(주),HL만도,5010825,AA-
에이치엠엠(주),HMM,1180866,취소
엘에스엠트론(주),에스엠,5001084,A
엘에스일렉트릭(주),LS,1139423,AA-
엘에스전선(주),LS,5001085,A+
엘에스증권(주),LS,5001483,A
엘지디스플레이(주),LG디스플레이,1638779,A
엘지전자(주),LG전자,1799533,AA
엠벤처투자(주),엠벤처투자,1200025,취소
오성첨단소재(주),오성첨단소재,5001592,CC
오씨아이홀딩스(주),OCI홀딩스,1407906,취소
우리산업(주),우리산업,5207932,BB
유안타증권(주),유안타증권,1493741,AA-
유진기업(주),유진기업,1547010,BBB
지에스건설(주),GS건설,1168959,A
지에스에너지(주),GS,5006369,AA
지에스이피에스(주),GS,1111499,AA
지에스칼텍스(주),GS,1999305,AA+
지에스파워(주),GS,1856731,AA
케이지모빌리티 (주),KG모빌리티,1309437,D
코웨이(주),웅진,1697506,AA-
키움증권(주),키움증권,1682530,AA-
하이트진로(주),하이트진로,1411915,A+
하이트진로홀딩스(주),하이트진로,1158336,A
한국전력공사,한국전력공사,1819972,AAA
한국항공우주산업(주),한국항공우주,1347339,AA-
한화시스템(주),한화시스템,1112728,AA-
현대모비스(주),모비스,1499163,AA+
현대자동차(주),현대자동차,1407283,AAA
현대제철(주),현대제철,1899929,AA
현대해상화재보험(주),현대해상,1440484,AA
