회사명,요청기업명,cmpCd,등급
(주)대한항공,대한항공,1463144,A
(주)씨제이이엔엠,CJ ENM,1884524,AA-
(주)엔씨소프트,엔씨소프트,5102692,AA-
(주)엘지생활건강,LG생활건강,1337366,AA+
(주)엘지에너지솔루션,LG에너지솔루션,5201587,AA
(주)엘지유플러스,LG유플러스,1368923,AA
(주)엘지화학,LG화학,1660632,AA+
(주)케이비금융지주,KB금융,5001252,취소
(주)케이티앤지,케이티앤지,1231507,AAA
(주)펄어비스,펄어비스,5108068,A-
(주)하나금융지주,하나금융지주,2602693,취소
(주)호텔신라,호텔신라,1609318,AA-
네이버(주),NAVER,1420234,AA+
두산에너빌리티(주),두산에너빌리티,1565368,BBB+
롯데케미칼(주),롯데케미칼,1369147,AA-
삼성바이오로직스(주),삼성바이오로직스,5009795,AA
삼성에스디아이(주),삼성SDI,1714118,AA
삼성에스디에스(주),삼성에스디에스,1207727,AA+
삼성전기(주),삼성전기,1925253,AA
삼성전자(주),삼성전자,1326874,AAA
씨제이제일제당(주),CJ제일제당,5000500,AA
아시아나항공(주),아시아나항공,1419392,취소
에스케이이노베이션(주),SK이노베이션,5000431,AA
에스케이텔레콤(주),SK텔레콤,1425702,AAA
에스케이하이닉스(주),SK하이닉스,1670352,AA
에쓰오일(주),S-Oil,1756193,AA
에이치엠엠(주),HMM,1180866,취소
엘지디스플레이(주),LG디스플레이,1638779,A
오씨아이홀딩스(주),OCI홀딩스,1407906,취소
한국전력공사,한국전력공사,1819972,AAA
한화에어로스페이스(주),한화에어로스페이스,1448505,AA-
현대모비스(주),현대모비스,1499163,AA+
