stock_code,debt_ratio,equity_ratio,debt_dependency_ratio,current_ratio,quick_ratio,interest_coverage_ratio,ebitda_to_total_debt,cfo_to_total_debt,free_cash_flow,operating_margin,roa,roe,net_profit_margin,total_asset_turnover,accounts_receivable_turnover,inventory_turnover,sales_growth_rate,operating_income_growth_rate,total_asset_growth_rate
005380,182.52%,35.4%,47.14%,145.6%,120.71%,15.85,,-0.18,-49168567000000.0,8.13%,4.25%,11.91%,7.55%,0.56,11.42,7.5,7.73%,-5.87%,20.3%
079550,395.0%,20.2%,4.6%,84.36%,84.36%,2.72,,0.32,990062546929.0,7.01%,8.82%,38.29%,13.38%,0.66,9.98,,41.92%,23.29%,60.53%
023530,128.98%,43.67%,25.54%,56.09%,40.43%,-0.51,,0.07,186654435503.0,3.38%,-2.85%,-7.13%,-7.11%,0.4,7.42,-5.16,-3.91%,-6.94%,27.28%
003490,328.82%,23.32%,46.58%,68.44%,61.54%,3.54,0.11,0.13,1652572024231.0,11.81%,3.57%,13.3%,7.73%,0.46,13.14,13.94,10.92%,17.88%,54.69%
086520,112.02%,47.17%,0.27%,121.5%,69.74%,-1.03,,0.24,-541342583458.0,-9.37%,-3.76%,-8.07%,-9.44%,0.4,5.89,2.35,-56.92%,-198.28%,7.69%
004710,71.75%,58.22%,13.71%,123.38%,123.38%,0.62,,0.26,72918329964.0,2.78%,3.26%,6.06%,2.49%,1.31,,,-7.92%,-31.84%,-7.76%
042660,266.9%,27.26%,2.66%,108.69%,81.83%,0.2,,-0.47,-6441720090801.0,2.21%,3.32%,11.51%,4.9%,0.68,17.56,3.56,45.46%,-221.06%,27.96%
336260,136.45%,42.29%,36.25%,180.51%,76.56%,-0.08,,0.22,76645894588.0,-0.42%,-0.93%,-2.07%,-2.54%,0.37,3.93,0.89,57.84%,-205.31%,10.16%
001070,40.09%,71.38%,16.04%,166.71%,90.86%,1.58,0.07,0.1,2513534873.0,1.81%,0.61%,0.85%,0.83%,0.73,7.31,3.74,-10.37%,-233.45%,2.59%
143210,420.82%,19.2%,55.0%,50.98%,23.75%,,,0.11,67766820428.0,N/A,-11.97%,-49.36%,-14.57%,0.82,8.18,3.73,3.72%,N/A,-9.37%
290120,184.11%,35.2%,16.9%,123.73%,84.32%,1.63,,0.03,-14473896246.0,6.12%,0.96%,2.52%,0.85%,1.12,8.06,5.29,14.77%,4.85%,35.04%
